time,event_type,vehicle_id,node,battery,status,assigned_task,target_station,total_distance,total_score
35,move_to_depot,1,4084888936,86.465,moving_to_depot,,,33.535,286.2517
35,step,0,8463840650,81.7052,moving_to_depot,,,38.2948,182.6746
35,step,1,4084888936,86.465,moving_to_depot,,,33.535,286.2517
35,step,2,4084703045,87.4964,moving_to_depot,,,32.5036,187.1126
35,step,3,4084644934,85.2828,moving_to_depot,,,34.7172,186.6173
35,step,4,4456154541,89.3727,moving_to_depot,,,30.6273,78.7236
36,step,0,8321089096,80.2052,moving_to_depot,,,39.7948,182.6746
36,step,1,4084705515,84.965,moving_to_depot,,,35.035,286.2517
36,step,2,4084683778,85.9964,moving_to_depot,,,34.0036,187.1126
36,step,3,8356784104,83.7828,moving_to_depot,,,36.2172,186.6173
36,step,4,4456154557,87.8727,moving_to_depot,,,32.1273,78.7236
37,reach_depot,2,1347774990,85.7085,idle,,,34.2915,187.1126
37,reach_depot,3,1347774990,83.391,idle,,,36.609,186.6173
37,step,0,5316143340,78.7052,moving_to_depot,,,41.2948,182.6746
37,step,1,9329049180,83.465,moving_to_depot,,,36.535,286.2517
37,step,2,1347774990,85.7085,idle,,,34.2915,187.1126
37,step,3,1347774990,83.391,idle,,,36.609,186.6173
37,step,4,4827472941,86.3727,moving_to_depot,,,33.6273,78.7236
38,dispatch,2,1347774990,85.7085,moving_to_task,10,,34.2915,187.1126
38,dispatch,3,1347774990,83.391,moving_to_task,11,,36.609,186.6173
38,reach_depot,1,1347774990,82.1723,idle,,,37.8277,286.2517
38,step,0,8315362066,77.2052,moving_to_depot,,,42.7948,182.6746
38,step,1,1347774990,82.1723,idle,,,37.8277,286.2517
38,step,2,9480716597,84.2085,moving_to_task,10,,35.7915,187.1126
38,step,3,4857888790,81.891,moving_to_task,11,,38.109,186.6173
38,step,4,4456154696,84.8727,moving_to_depot,,,35.1273,78.7236
39,dispatch,1,1347774990,82.1723,moving_to_task,12,,37.8277,286.2517
