time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
166,3893.0433,2,44,2,0,53.047
167,4070.6021,2,46,2,0,52.6447
168,4070.6021,2,46,2,0,51.8947
169,4165.0679,2,47,2,0,51.289
170,4165.0679,2,47,2,0,50.6498
171,4165.0679,2,47,2,0,49.9867
172,4257.0498,2,48,2,0,50.067
173,4257.0498,4,48,2,0,50.067
174,4257.0498,4,48,2,0,50.1737
175,4287.7014,3,49,3,0,50.4396
176,4287.7014,2,49,3,0,51.2168
177,4377.1921,1,50,3,0,52.0152
178,4377.1921,1,50,3,0,52.7652
179,4377.1921,1,50,3,0,53.5956
180,4472.1806,1,51,3,0,54.6436
181,4472.1806,1,51,3,0,55.6405
182,4472.1806,1,51,3,0,56.6602
183,4564.7067,0,52,3,0,57.0979
184,4564.7067,0,52,3,0,57.0979
185,4564.7067,0,52,3,0,57.3691
186,4564.7067,0,52,3,0,57.456
187,4564.7067,0,52,3,0,58.2544
188,4564.7067,0,52,3,0,59.1544
189,4658.6188,0,53,3,0,60.1065
190,4658.6188,0,53,3,0,60.3941
191,4658.6188,0,53,3,0,60.6941
192,4658.6188,0,53,3,0,60.9941
193,4928.3038,0,56,3,0,60.8916
194,5012.135,0,57,3,0,60.5135
195,5012.135,0,57,3,0,60.1155
196,5012.135,0,57,3,0,59.5785
197,5012.135,0,57,3,0,59.7285
198,5103.2448,0,58,3,0,60.0135
199,5103.2448,0,58,3,0,60.0135
200,5103.2448,0,58,3,0,60.0135
201,5103.2448,1,58,3,0,60.1085
202,5103.2448,0,58,3,0,59.5085
203,5192.1328,0,59,3,0,59.1662
204,5192.1328,0,59,3,0,58.6531
205,5192.1328,0,59,3,0,58.7792
206,5192.1328,1,59,3,0,58.9549
207,5192.1328,3,59,3,0,59.8399
208,5368.3782,2,61,3,0,60.7808
209,5368.3782,3,61,3,0,61.5308
210,5464.766,3,62,3,0,62.3787
211,5464.766,3,62,3,0,63.1287
212,5464.766,3,62,3,0,63.8787
213,5464.766,3,62,3,0,63.9114
214,5551.2697,2,63,3,0,64.1433
215,5647.8819,1,64,3,0,64.2287
216,5647.8819,2,64,3,0,64.2287
217,5823.3793,2,66,3,0,64.3282
218,5823.3793,2,66,3,0,64.5682
219,5823.3793,1,66,3,0,64.7182
220,5823.3793,2,66,3,0,64.8682
221,5823.3793,2,66,3,0,65.0182
222,5823.3793,2,66,3,0,65.167
223,5823.3793,1,66,3,0,64.567
224,5910.8743,1,67,3,0,64.0995
225,6003.09,1,68,3,0,62.9521
226,6003.09,1,68,3,0,61.7521
227,6089.1501,1,69,3,0,60.7905
228,6089.1501,1,69,3,0,59.7643
229,6181.0703,1,70,3,0,60.151
230,6181.0703,1,70,3,0,60.5908
231,6181.0703,1,70,3,0,61.0408
232,6181.0703,1,70,3,0,61.5434
233,6181.0703,1,70,3,0,62.1434
234,6181.0703,1,70,3,0,62.7434
235,6181.0703,1,70,3,0,63.4759
236,6263.1853,1,71,3,0,64.3451
237,6263.1853,1,71,3,0,65.0318
238,6263.1853,1,71,3,0,65.6947
239,6263.1853,1,71,3,0,67.0447
240,6263.1853,1,71,3,0,68.4881
241,6263.1853,1,71,3,0,69.9881
242,6263.1853,1,71,3,0,71.4881
243,6263.1853,1,71,3,0,72.8381
244,6263.1853,1,71,3,0,73.4381
245,6353.5501,1,72,3,0,74.0489
246,6353.5501,1,72,3,0,74.6489
247,6353.5501,1,72,3,0,74.6489
248,6353.5501,1,72,3,0,74.6489
249,6353.5501,1,72,3,0,74.6489
250,6353.5501,1,72,3,0,74.768
251,6353.5501,1,72,3,0,74.768
252,6353.5501,1,72,3,0,74.768
253,6442.4006,1,73,3,0,74.8931
254,6442.4006,1,73,3,0,74.9655
255,6442.4006,1,73,3,0,75.1155
256,6528.7219,1,74,3,0,74.7357
257,6528.7219,1,74,3,0,74.2857
258,6528.7219,1,74,3,0,73.8357
259,6528.7219,1,74,3,0,73.2357
