time,station_id,node_id,queue_length,occupied_piles,waiting_vehicles,charging_slots
127,1,27,0,0,[],"[None, None]"
128,0,26,0,0,[],"[None, None]"
128,1,27,0,0,[],"[None, None]"
129,0,26,0,0,[],"[None, None]"
129,1,27,0,0,[],"[None, None]"
130,0,26,0,0,[],"[None, None]"
130,1,27,0,0,[],"[None, None]"
131,0,26,0,0,[],"[None, None]"
131,1,27,0,0,[],"[None, None]"
132,0,26,0,0,[],"[None, None]"
132,1,27,0,0,[],"[None, None]"
133,0,26,0,0,[],"[None, None]"
133,1,27,0,0,[],"[None, None]"
134,0,26,0,0,[],"[None, None]"
134,1,27,0,0,[],"[None, None]"
135,0,26,0,0,[],"[None, None]"
135,1,27,0,0,[],"[None, None]"
136,0,26,0,0,[],"[None, None]"
136,1,27,0,0,[],"[None, None]"
137,0,26,0,0,[],"[None, None]"
137,1,27,0,0,[],"[None, None]"
138,0,26,0,0,[],"[None, None]"
138,1,27,0,0,[],"[None, None]"
139,0,26,0,0,[],"[None, None]"
139,1,27,0,0,[],"[None, None]"
140,0,26,0,0,[],"[None, None]"
140,1,27,0,0,[],"[None, None]"
141,0,26,0,0,[],"[None, None]"
141,1,27,0,0,[],"[None, None]"
142,0,26,0,0,[],"[None, None]"
142,1,27,0,0,[],"[None, None]"
143,0,26,0,0,[],"[None, None]"
143,1,27,0,0,[],"[None, None]"
144,0,26,0,0,[],"[None, None]"
144,1,27,0,0,[],"[None, None]"
145,0,26,0,0,[],"[None, None]"
145,1,27,0,0,[],"[None, None]"
146,0,26,0,0,[],"[None, None]"
146,1,27,0,0,[],"[None, None]"
147,0,26,0,0,[],"[None, None]"
147,1,27,0,0,[],"[None, None]"
148,0,26,0,0,[],"[None, None]"
148,1,27,0,0,[],"[None, None]"
149,0,26,0,0,[],"[None, None]"
149,1,27,0,0,[],"[None, None]"
150,0,26,0,0,[],"[None, None]"
150,1,27,0,0,[],"[None, None]"
151,0,26,0,0,[],"[None, None]"
151,1,27,0,0,[],"[None, None]"
152,0,26,0,0,[],"[None, None]"
152,1,27,0,0,[],"[None, None]"
153,0,26,0,0,[],"[None, None]"
153,1,27,0,0,[],"[None, None]"
154,0,26,0,0,[],"[None, None]"
154,1,27,0,0,[],"[None, None]"
155,0,26,0,0,[],"[None, None]"
155,1,27,0,0,[],"[None, None]"
156,0,26,0,0,[],"[None, None]"
156,1,27,0,0,[],"[None, None]"
157,0,26,0,0,[],"[None, None]"
157,1,27,0,0,[],"[None, None]"
158,0,26,0,0,[],"[None, None]"
158,1,27,0,0,[],"[None, None]"
159,0,26,0,0,[],"[None, None]"
159,1,27,0,0,[],"[None, None]"
160,0,26,0,0,[],"[None, None]"
160,1,27,0,0,[],"[None, None]"
161,0,26,0,0,[],"[None, None]"
161,1,27,0,0,[],"[None, None]"
162,0,26,0,0,[],"[None, None]"
162,1,27,0,0,[],"[None, None]"
163,0,26,0,0,[],"[None, None]"
163,1,27,0,0,[],"[None, None]"
164,0,26,0,0,[],"[None, None]"
164,1,27,0,0,[],"[None, None]"
165,0,26,0,0,[],"[None, None]"
165,1,27,0,0,[],"[None, None]"
166,0,26,0,0,[],"[None, None]"
166,1,27,0,0,[],"[None, None]"
167,0,26,0,0,[],"[None, None]"
167,1,27,0,0,[],"[None, None]"
168,0,26,0,0,[],"[None, None]"
168,1,27,0,0,[],"[None, None]"
169,0,26,0,0,[],"[None, None]"
169,1,27,0,0,[],"[None, None]"
170,0,26,0,0,[],"[None, None]"
170,1,27,0,0,[],"[None, None]"
171,0,26,0,0,[],"[None, None]"
171,1,27,0,0,[],"[None, None]"
172,0,26,0,0,[],"[None, None]"
172,1,27,0,0,[],"[None, None]"
173,0,26,0,0,[],"[None, None]"
173,1,27,0,0,[],"[None, None]"
174,0,26,0,0,[],"[None, None]"
174,1,27,0,0,[],"[None, None]"
175,0,26,0,0,[],"[None, None]"
175,1,27,0,0,[],"[None, None]"
176,0,26,0,0,[],"[None, None]"
176,1,27,0,0,[],"[None, None]"
177,0,26,0,0,[],"[None, None]"
177,1,27,0,0,[],"[None, None]"
178,0,26,0,0,[],"[None, None]"
178,1,27,0,0,[],"[None, None]"
179,0,26,0,0,[],"[None, None]"
179,1,27,0,0,[],"[None, None]"
